dog_id,breed,age,weight,duration,hr_mean,hr_max,hr_min,hr_std,br_mean,br_max,br_min,br_std,hrv,rr_mean
BEA_057,beauceron,4.0,38.0,300.36,42.84,47.87,37.84,2.8,9.13,9.66,8.66,0.34,0.6556,1.3397
BEA_059,beauceron,4.0,38.0,300.39,47.53,57.25,40.35,4.51,15.97,18.39,13.42,1.19,0.5261,1.2588
BEA_066,beauceron,4.0,38.0,300.39,48.05,66.44,40.05,6.18,9.39,12.2,7.83,1.24,0.6146,1.2575
BEA_068,beauceron,4.0,38.0,300.39,48.04,57.92,41.69,4.14,10.1,11.47,8.65,1.01,0.5705,1.2328
BEA_069,beauceron,4.0,38.0,300.39,49.72,61.9,42.8,5.68,8.52,11.02,7.2,1.2,0.5554,1.1317
BEA_071,beauceron,4.0,38.0,300.43,57.78,61.39,54.97,2.23,14.28,15.43,13.37,0.76,0.3659,1.0358
BEA_072,beauceron,4.0,38.0,300.39,53.42,61.26,46.94,3.74,12.02,12.71,10.95,0.68,0.4683,1.1452
BEA_074,beauceron,4.0,38.0,300.36,49.6,59.59,42.47,5.01,7.93,8.43,7.3,0.45,0.6192,1.1383
BEA_075,beauceron,4.0,38.0,300.39,47.16,54.97,42.55,2.74,7.89,8.41,7.36,0.32,0.7039,1.262
BEA_076,beauceron,4.0,38.0,300.39,51.23,62.63,45.24,4.11,13.11,15.26,11.26,1.13,0.5031,1.1141
BEA_077,beauceron,4.0,38.0,181.42,47.8,52.57,42.95,2.73,8.64,9.02,8.07,0.27,0.6515,1.3083
BER_001,berger,5.5,11.0,300.03,58.26,63.03,53.33,2.52,20.53,21.33,19.42,0.6,0.2794,1.037
BER_002,berger,5.5,11.0,300.09,61.27,88.77,53.5,8.27,20.35,22.94,18.08,1.64,0.3238,0.931
BER_003,berger,5.5,11.0,300.09,57.24,88.75,46.57,11.76,24.33,28.73,16.96,5.24,0.3383,0.9312
BER_004,berger,5.5,11.0,300.09,51.38,58.01,48.07,2.4,11.32,12.39,10.04,0.7,0.4267,1.175
BER_005,berger,5.5,11.0,300.09,47.14,51.76,42.53,4.61,8.38,8.38,8.38,0.0,0.5033,1.0796
BER_007,berger,5.5,11.0,300.09,55.96,67.46,49.74,4.14,14.93,16.45,13.65,0.86,0.3583,1.0729
BER_008,berger,5.5,11.0,300.09,54.76,62.14,51.18,2.64,13.51,13.51,13.51,0.0,0.3502,1.0904
BER_010,berger,5.5,11.0,300.09,47.53,53.0,39.97,2.4,15.44,18.34,13.06,1.25,0.4074,1.2727
BER_011,berger,5.5,11.0,300.09,47.83,55.48,41.1,2.89,12.11,14.08,11.13,0.66,0.4678,1.2653
BER_012,berger,5.5,11.0,300.05,47.67,61.43,36.81,5.68,11.64,13.66,10.83,0.8,0.5201,1.2368
BER_013,berger,5.5,11.0,300.04,46.74,54.39,44.12,2.07,11.54,13.09,10.6,0.93,0.4447,1.2877
BER_014,berger,5.5,11.0,300.09,46.8,50.65,40.3,2.32,12.95,13.95,11.92,0.61,0.4121,1.2425
BER_015,berger,5.5,11.0,300.04,46.83,51.54,42.15,2.29,12.64,13.19,11.92,0.37,0.438,1.2663
BER_018,berger,5.5,11.0,300.13,45.27,47.84,40.32,1.75,11.33,11.33,11.33,0.0,0.452,1.3539
BER_019,berger,5.5,11.0,300.09,45.21,49.62,40.57,1.98,9.97,11.04,8.84,0.54,0.4613,1.3286
BER_020,berger,5.5,11.0,300.09,43.77,48.63,40.74,2.1,8.66,8.66,8.66,0.0,0.4462,1.3244
BER_022,berger,5.5,11.0,300.09,45.11,48.58,40.46,2.55,10.44,10.44,10.44,0.0,0.4448,1.1167
BER_023,berger,5.5,11.0,300.09,44.17,48.58,39.95,2.17,9.86,10.35,9.02,0.4,0.4993,1.3712
BER_024,berger,5.5,11.0,300.13,42.14,46.15,39.89,2.18,9.9,10.27,9.6,0.27,0.4673,1.3071
BER_025,berger,5.5,11.0,300.09,44.09,50.13,40.76,2.58,9.19,9.45,8.96,0.18,0.5075,1.377
BER_026,berger,5.5,11.0,300.09,41.61,45.57,38.59,2.93,9.75,9.75,9.75,0.0,0.4894,1.2186
BER_027,berger,5.5,11.0,300.13,46.4,49.55,40.21,2.26,8.36,9.74,7.24,0.78,0.4848,1.3185
BER_028,berger,5.5,11.0,300.09,45.54,49.66,42.77,2.08,8.68,9.23,7.82,0.32,0.4805,1.3239
BER_029,berger,5.5,11.0,300.09,44.98,48.0,42.07,1.93,8.32,8.51,8.17,0.11,0.4624,1.2526
BER_030,berger,5.5,11.0,300.13,46.03,51.08,42.53,2.18,8.77,9.3,8.16,0.32,0.4984,1.3103
BER_033,berger,5.5,11.0,300.13,44.28,47.87,40.43,2.31,6.71,7.86,5.73,0.61,0.4203,1.3458
BER_035,berger,5.5,11.0,300.08,49.75,52.81,46.81,2.05,12.87,12.87,12.87,0.0,0.3618,1.1434
BER_036,berger,5.5,11.0,300.08,47.32,52.0,42.75,2.2,12.36,13.81,11.01,0.8,0.4451,1.2722
BER_037,berger,5.5,11.0,300.12,47.32,51.97,45.61,1.44,12.08,13.31,11.23,0.55,0.3992,1.235
BER_038,berger,5.5,11.0,300.08,47.95,50.55,44.24,1.84,13.02,13.02,13.02,0.0,0.3801,1.2391
BER_039,berger,5.5,11.0,300.12,49.72,54.65,46.33,1.96,13.89,15.68,12.18,0.99,0.4084,1.1392
BER_040,berger,4.0,10.5,299.99,61.07,63.66,58.71,1.45,12.73,12.73,12.73,0.0,0.2556,0.9849
BER_041,berger,4.0,10.5,300.09,60.85,64.13,57.14,1.73,11.25,12.01,10.45,0.39,0.3005,0.9933
BER_042,berger,4.0,10.5,300.05,63.38,70.5,59.44,2.98,11.8,12.92,10.21,0.86,0.2943,0.9635
BER_043,berger,4.0,10.5,300.04,61.92,66.58,55.52,2.18,10.54,10.54,10.54,0.0,0.3481,0.9867
BER_047,berger,4.0,10.5,300.09,58.72,63.79,52.57,2.98,13.16,14.64,11.21,1.08,0.3515,1.0133
BER_048,berger,4.0,10.5,300.09,59.88,65.66,56.53,2.4,11.1,12.5,10.28,0.55,0.3615,1.0078
BER_049,berger,4.0,10.5,300.05,58.38,60.99,53.78,1.74,11.25,11.56,10.78,0.23,0.376,1.0181
BER_050,berger,4.0,10.5,300.09,57.32,61.98,50.19,3.4,10.31,12.13,8.27,1.46,0.3702,0.9151
BER_051,berger,4.0,10.5,300.09,60.35,68.47,51.95,6.0,9.48,9.48,9.48,0.0,0.3776,0.9926
BER_052,berger,4.0,10.5,300.05,60.87,70.82,56.43,3.56,10.73,11.69,9.04,0.59,0.3415,0.9679
BER_053,berger,4.0,10.5,300.13,60.61,68.88,56.25,2.9,10.86,12.77,9.94,0.64,0.3507,0.9965
BER_054,berger,4.0,10.5,300.09,59.74,65.72,56.53,2.17,11.04,11.64,10.61,0.27,0.3605,1.0133
BER_055,berger,4.0,10.5,300.09,59.43,64.09,56.07,2.14,11.04,11.21,10.82,0.16,0.3778,1.0313
BER_056,berger,4.0,10.5,300.05,63.97,70.73,51.18,4.89,9.9,10.46,8.84,0.75,0.3168,0.9198
BER_057,berger,4.0,10.5,300.09,64.27,73.42,58.54,4.59,11.36,13.68,10.21,1.33,0.3259,0.9311
BER_058,berger,4.0,10.5,300.09,66.05,73.12,56.53,4.53,9.73,10.0,8.98,0.38,0.3183,0.903
BER_059,berger,4.0,10.5,300.13,64.13,69.28,59.89,2.46,10.81,11.25,10.16,0.4,0.3169,0.9287
BER_060,berger,4.0,10.5,300.09,60.72,63.83,56.25,2.21,10.7,10.74,10.67,0.04,0.3717,0.9363
BER_061,berger,4.0,10.5,300.13,67.92,76.31,58.94,6.23,10.13,10.13,10.13,0.0,0.2951,0.8844
BER_062,berger,4.0,10.5,300.09,72.03,81.98,65.43,4.5,10.93,11.42,10.42,0.24,0.2571,0.8391
