dog_id,breed,age,weight,duration,hr_mean,hr_max,hr_min,hr_std,br_mean,br_max,br_min,br_std,hrv,rr_mean
HUS_016,husky,4.0,29.0,300.12,49.33,52.63,43.8,2.64,7.84,9.14,7.23,0.76,0.6542,1.2735
HUS_017,husky,4.0,29.0,300.29,54.11,57.03,48.69,2.66,9.8,10.87,8.72,1.07,0.4843,1.18
HUS_018,husky,4.0,29.0,300.36,50.91,56.85,44.62,2.86,11.1,11.85,10.35,0.75,0.4708,1.1696
HUS_019,husky,4.0,29.0,300.34,50.23,56.68,46.48,2.52,8.21,8.35,8.09,0.09,0.5666,1.2255
HUS_021,husky,4.0,29.0,300.36,50.35,64.68,39.29,5.7,8.69,10.85,7.43,0.92,0.6002,1.2233
HUS_022,husky,4.0,29.0,300.34,47.66,54.13,41.96,3.27,7.93,8.05,7.8,0.1,0.5475,1.1871
HUS_023,husky,4.0,29.0,300.39,51.85,57.54,47.78,3.32,11.7,11.7,11.7,0.0,0.4711,1.1424
HUS_025,husky,4.0,29.0,300.08,48.47,51.59,44.56,1.89,16.19,16.83,15.9,0.38,0.4868,1.2518
HUS_026,husky,4.0,29.0,300.36,51.0,54.32,46.24,2.55,16.93,19.75,15.44,1.27,0.4463,1.1734
HUS_027,husky,4.0,29.0,300.34,48.67,52.53,44.38,2.11,18.7,20.29,17.07,1.08,0.4464,1.154
HUS_030,husky,4.0,29.0,300.29,48.95,57.4,44.31,3.14,8.77,10.56,7.53,0.85,0.5522,1.2368
HUS_032,husky,4.0,29.0,300.39,51.53,63.62,48.21,3.13,8.16,8.64,7.69,0.24,0.4748,1.171
HUS_033,husky,4.0,29.0,300.36,54.1,59.15,48.51,2.92,7.76,7.76,7.76,0.0,0.443,1.1044
LAB_003,labrador,3.5,25.5,300.17,50.24,56.32,45.61,2.61,12.47,14.61,9.98,1.91,0.4535,1.2094
LAB_004,labrador,3.5,25.5,300.14,48.99,59.85,41.75,4.62,9.42,10.87,7.97,1.45,0.5296,1.2406
LAB_005,labrador,3.5,25.5,300.22,46.55,54.97,38.33,3.74,9.74,10.41,8.54,0.85,0.4928,1.269
LAB_007,labrador,3.5,25.5,300.22,49.93,55.91,44.39,3.69,10.0,10.19,9.81,0.19,0.4776,1.1569
LAB_008,labrador,3.5,25.5,300.17,46.77,53.22,40.21,4.49,6.73,7.78,6.05,0.68,0.5993,1.1266
LAB_009,labrador,3.5,25.5,300.17,45.32,49.25,40.67,3.06,6.87,8.1,6.38,0.54,0.5914,1.2294
LAB_011,labrador,3.5,25.5,300.17,47.14,51.05,43.68,2.86,8.2,11.99,6.23,2.68,0.6214,1.2086
LAB_012,labrador,3.5,25.5,300.22,46.54,51.05,42.28,2.44,10.34,10.49,10.19,0.15,0.4961,1.2569
LAB_020,labrador,3.5,25.5,300.14,48.72,50.88,46.57,2.16,10.29,10.78,9.85,0.25,0.4632,1.1574
LAB_027,labrador,3.5,25.5,300.17,47.96,51.36,44.06,2.33,11.0,11.0,11.0,0.0,0.4073,1.1906
LAB_028,labrador,3.5,25.5,300.12,51.59,55.96,49.71,2.54,13.24,13.73,12.76,0.49,0.3517,0.9887
LAB_029,labrador,3.5,25.5,300.12,45.81,51.28,38.11,4.5,11.47,11.47,11.47,0.0,0.4591,1.2056
LAB_031,labrador,3.5,25.5,300.17,53.76,59.64,48.75,3.11,14.37,15.76,13.21,0.86,0.3975,1.0112
LAB_032,labrador,3.5,25.5,300.25,51.96,62.42,46.36,3.79,11.85,13.1,10.7,0.69,0.4942,1.1783
LAB_037,labrador,1.5,28.0,300.09,61.76,70.08,58.1,3.16,12.68,14.5,11.67,0.84,0.3936,0.9738
LAB_038,labrador,1.5,28.0,300.18,60.59,68.47,50.49,4.28,11.9,14.09,10.39,1.22,0.3977,0.955
LAB_041,labrador,1.5,28.0,300.18,62.35,68.27,55.85,3.09,13.62,15.21,12.01,0.91,0.3489,0.9648
LAB_042,labrador,1.5,28.0,300.18,67.97,79.21,57.84,6.1,13.33,17.91,10.37,2.02,0.3706,0.9024
LAB_075,labrador,4.0,27.0,300.12,74.57,80.36,68.14,3.42,13.49,14.68,12.75,0.72,0.4929,0.8341
LAB_077,labrador,4.0,27.0,300.12,74.46,81.82,70.98,2.6,13.5,13.5,13.5,0.0,0.1842,0.8086
LAB_078,labrador,4.0,27.0,300.17,76.26,106.26,67.97,8.77,16.82,19.62,15.64,1.45,0.213,0.8061
LAB_079,labrador,4.0,27.0,300.14,73.12,81.71,67.02,3.48,14.83,16.28,13.38,0.78,0.2106,0.8074
LAB_080,labrador,4.0,27.0,300.17,66.25,70.08,62.99,1.89,13.0,13.2,12.77,0.18,0.2774,0.8939
LAB_082,labrador,4.0,27.0,300.17,63.59,67.73,60.24,2.21,16.16,16.58,15.74,0.42,0.3175,0.9519
LAB_084,labrador,4.0,27.0,300.17,69.52,72.2,66.02,1.97,14.74,14.74,14.74,0.0,0.2217,0.8352
LAB_085,labrador,4.0,27.0,300.12,65.09,71.71,60.99,2.79,17.85,17.85,17.85,0.0,0.2375,0.8718
LAB_086,labrador,4.0,27.0,300.08,63.38,66.36,60.95,1.38,16.12,16.71,15.53,0.59,0.2858,0.9254
LAB_087,labrador,4.0,27.0,300.08,65.14,68.05,61.22,1.99,14.13,16.33,12.4,0.95,0.3126,0.9272
LAB_088,labrador,4.0,27.0,300.14,66.63,71.9,61.11,2.86,13.94,14.64,13.25,0.36,0.302,0.907
LAB_089,labrador,4.0,27.0,300.12,67.59,75.7,64.3,2.41,14.34,14.69,14.09,0.25,0.2781,0.8853
LAB_093,labrador,4.0,27.0,300.17,76.03,89.38,70.9,4.35,15.77,16.46,15.39,0.42,0.1599,0.7921
LAB_095,labrador,4.0,27.0,300.12,78.3,85.27,71.79,3.93,16.38,17.01,15.55,0.5,0.1525,0.7631
LAB_096,labrador,4.0,27.0,300.17,76.34,83.92,71.34,2.9,16.8,17.18,16.6,0.22,0.1653,0.7821
